experiment,method,n_povs,noise_strength,n_samples,unified_score_mean,unified_score_std,mean_bbox_iou_mean,mean_bbox_iou_std,detection_f1_mean,detection_f1_std,count_accuracy_mean,count_accuracy_std
DN-Large (POV),refinement,6,0.8,156,0.2825021435066083,0.0648426998000209,0.02961443524791357,0.04250786338972574,0.2906797143141659,0.17664550946518445,0.05016788766788766,0.08330792334982227
DN-Large (POV),refinement,7,0.5,157,0.2639402597780144,0.06559014525065479,0.02061819896332778,0.025986915706202617,0.25238335876888,0.1880851391912228,0.022444646648468302,0.05763514910246103
DN-Large (POV),refinement,7,0.8,156,0.2760877850532222,0.06453623102983262,0.03120971261073719,0.046682433575636464,0.2885198943023002,0.1823455982382207,0.040750915750915745,0.07710589732011812
DN-Large (POV),accumulation,0,,192,0.24970317969856856,0.0642936798523458,0.016283030763136083,0.023853860211035173,0.18918770306326163,0.16303259724386085,0.015376984126984126,0.04192335247892688
DN-Large (POV),accumulation,1,,192,0.3336593406934951,0.11165836214819633,0.1056776168422983,0.16954234910053956,0.3610475161782561,0.2050072243748706,0.0989893353174603,0.18501899159516272
DN-Large (POV),accumulation,2,,192,0.31413048091309137,0.09324871688861472,0.0715530912409079,0.11234067262844538,0.35394962732058316,0.20668259087593707,0.07726934523809523,0.14431402865651655
DN-Large (POV),accumulation,3,,192,0.32625263496088264,0.09386545946315271,0.07566738638714299,0.12713437908084058,0.3409156476178444,0.2014742139361768,0.08839285714285712,0.1626871120807629
DN-Large (POV),accumulation,4,,192,0.32120263437232266,0.10714364451446239,0.07952419586585754,0.13109708616074148,0.35389675670199533,0.21337010365896503,0.09291294642857141,0.2009969353862592
DN-Large (POV),accumulation,5,,192,0.3181831698308385,0.09504133938975365,0.06982430771441912,0.1291390751338536,0.3502251837603616,0.20157995745030313,0.0784908234126984,0.15902496173059527
DN-Large (POV),accumulation,6,,192,0.31656007552361404,0.09840383198627461,0.0692494033870495,0.10934423125037292,0.3496807676408064,0.20347378242441277,0.072625248015873,0.16919216386940136
DN-Large (POV),accumulation,7,,192,0.3044009380146621,0.09293114396941661,0.07031306338745545,0.12203718271073428,0.3350570295981609,0.19500896039559396,0.07407614087301587,0.1383819574471436
DN-Large (POV),refinement,0,0.5,192,0.24970317969856856,0.0642936798523458,0.016283030763136083,0.023853860211035173,0.18918770306326163,0.16303259724386085,0.015376984126984126,0.04192335247892688
